id,text,stance,Novelty_Quora,Emotion_Label,com_femotion
1.25E+18,it is good that the uk is beginning patient trials of remdesivir for treating the coronavirus but there is no good reason not to begin similar trials of chloroquine and azithromycin which are much cheaper and now in use in both france and the usa,2,1,1,1
1.25E+18,as someone with a biomedicine degree i found it interesting that the common malaria amp rheumatoid arthritis drug hydroxychloroquine may prove to have a tive affect on at least some coronavirus patients testing samples are small but it could lead to a major breakthrough,2,1,0,0
1.25E+18,covid19 ghana using trumps proposed chloroquine for treating cases video,2,1,0,0
1.25E+18,battlefield medicine ny nj doctors and patients see anecdotal evidence of hydroxychloroquine benefits in fighting coronavirus,2,1,1,1
1.25E+18,it doesnt matter coz trump is going to win the elections again this year the coronavirus has badly affected the liberal and democratic states his approval ratings are very much higher in republican states amp also democratic states are banning hydroxychloroquine w more deaths,2,1,1,1
1.25E+18,hydroxychloroquine and the zpack sounds like this is the game charger   trump2020nowmorethanever covid19 covid19pandemic,2,1,0,0
1.25E+18,why france is hiding a cheap and tested virus cure  asia times coronavirus didierraoult buzyn inserm chloroquine,2,1,1,1
1.25E+18,the drug in use against covid19 right now is azithromycin which fights acute bronchitis and pneumonia  on chloroquine and other related drugs they are still in testing no one can use them or remove them from the market to create a shortage because results may come negative,1,1,1,0
1.25E+18,bolsonarotemrazao  hydroxychloroquine is a game changer and the beginning of the end coronavirus pandemicinfectious disease specialist dr stephen smith says,2,1,1,1
1.25E+18,battlefield medicine ny nj doctors and patients see anecdotal evidence of hydroxychloroquine benefits in fighting coronavirus,2,1,1,1
1.25E+18,anyone else cringing at the thoughts  of hydroxychloroquine in many households for covid19 treatment ohthecalls littlepeople onepillcankill     thisgrandmanothappy foamtox foamed,1,1,0,0
1.25E+18,survey of 6k doctors finds hydroxychloroquine most effective therapy for chinavirus,2,1,1,1
1.25E+18,mr trump himself has a small personal financial interest in sanofi the french drugmaker that makes plaquenil the brandname version of,1,0,0,0
1.25E+18,right  im sure his family went out and invested in the mutual funds right before it was found that hydroxychloroquine works on the virus  pull your damn head out,2,1,1,1
1.25E+18,latest factual evidence re hydroxychloroquine use bottom line is based on most recent scientific study it is ineffectual against covid infection or related health,1,0,1,0
1.25E+18,covid19 covid19nl netherlands  recorded highest no of deads in last 24h 234  total positive cases 19580 in last 24 hour 777  total in hospital 7427 in last 24 hour 292  hydroxychloroquine sure wil be a gamechangerthis wil happen if u are late with prevention,2,1,0,1
1.25E+18,read my apr 7 newsletter featuring detroit rep says hydroxychloroquine trump helped save her life amid covid,2,1,0,0
1.25E+18,read my apr 7 newsletter featuring detroit rep says hydroxychloroquine trump helped save her life amid covid,2,1,0,0
1.25E+18,if you get covid19 and your doctor recommends that you take hydroxychloroquine i suggest that you inform him that trump is a liar and show him this link and refuse to take it,1,0,0,0
1.25E+18,trumps former lawyer had milliondollar contract with hydroxychloroquine maker via news politics coronavirus,1,0,1,1
1.25E+18,no evidence of rapid antiviral clearance or clinical benefit with the combination of hydroxychloroquine and azithromycin in patients with severe covid19 infection  sciencedirect,1,0,0,0
1.25E+18,alsotrump has financial interest in sanofi the french company that makes plaquenil the brandname version of hydroxychloroquine nyt daily mail,1,1,0,0
1.25E+18,at worst hydroxychloroquine might not work for some patients vs coronavirus at worst there are serious side effects and people may be harming themselves because of trump and his snakeoil cronies doing infomercials for a drug they have a financial stake in,1,0,0,0
1.25E+18,the one positive study for hydroxychloroquine as treatment for covid19 was retracted by the publisher international society of antimicrobial chemotherapy isac march 3rd,1,0,1,0
1.25E+18,i am from pharmacy background and working in industry from last 20 years we can handle demand of this product efficiently i dont think there is need to worry as we dont depend on china for raw material of hydroxychloroquine,2,1,1,1
1.25E+18,this was bigpharmas ace in the hole they were going to make a killing off of this pandemic no pun intended i suspect this hydroxychloroquine is just the start of the cures being released lets end the unnecessary suffering once and for all releasethecures covid19,2,1,1,1
1.25E+18,has president trump found the cure  it seems so hydroxychloroquine against the wuhan virus ,2,0,0,0
1.25E+18,dr oz multiple people are reporting that zinc should be included in treatment of covid  19 in addition to zpack and hydroxychloroquine what do you think thank you,2,1,1,1
1.25E+18,hydroxychloroquine follow the money theres only money in a vaccine  it probably already exists theres no money in a 70 year old generic drug  thats starting to get scarce thanks to  fake news not promoting it,2,1,0,1
1.25E+18,i have lupus and take hydroxychloroquine daily to keep my body from attacking itself my pharmacy is out of stock and shortages are everywhere i cant get the medication i desperately need because our president is a complete and total assclown,1,1,1,1
1.25E+18,donald trump has stake in hydroxychloroquine drugmaker report the president has repeatedly touted the antimalaria drug as a coronavirus treatment despite a lack of medical covid19,1,0,0,0
1.25E+18,michigan state rep tested positive for covid19 says hydroxychloroquine helped save her life,2,1,0,0
1.25E+18,democrat state rep from michigan says hydroxychloroquine president trump helped save her life after she tested positive for coronavirus,2,1,0,1
1.25E+18,didier raoult the best doctor all around the world for coronavirus defy the deep state in france je treat his patients with chloroquine and azithromisin dr raoult has the best results in france with chloroquine mainstream medias give him shit 30 countries use chloroquine now,2,1,0,0
1.25E+18,some swedish hospitals have stopped using chloroquine to treat covid19 after reports of severe side effects,1,0,1,0
1.25E+18,only white supermascist kkk sanghis will take hydroxychloroquine for corona epidemic when who has not even approved until,1,1,0,0
1.25E+18,why trumps press briefings are starting to feel like a hydroxychloroquine infomercial follow the money  as of last year trumps three family trusts each had investments in a mutual fund whose largest holding was in sanofi maker of plaquenil ,1,0,0,0
1.25E+18,the liarinchief has a personal financial interest in sanofi the french drugmaker that makes plaquenil the brandname version of hydroxychloroquine go figure,1,0,1,1
1.25E+18,this ones for all the deranged haters howling about trumps financial interest in sanofi the maker of hydroxichloroquine covid19 coronavirus,1,0,0,0
1.25E+18,the globalist left lies when crook doctors said chloroquine has not been tested china has tested chloroquine with success south korea has tested chloroquine with success,2,1,1,1
1.25E+18,well im upset  dr oz vents after ny governor cuomo shuts down his study on hydroxychloroquine for early treatment of coronavirus video via,2,1,1,1
1.25E+18,detroit rep says hydroxychloroquine trump helped save her life amid covid19 fight state rep karen whitsett who learned monday she has tested positive for covid19 said she started taking hydroxychloroquine on march 31,2,1,0,1
1.25E+18,not only did dems say the same things as trump they also wanted free travel from china or europe amp now dont want you to use hydroxychloroquine bc it hasnt been tested the lefts dream scenario was a quick response so they could bash him for a bad economy saying he overreacted,2,1,0,0
1.25E+18,my question has been answered  and the answer is chilling  trump is willing to kill citizens in order to make money for himself and his crime family  the ny times is reporting that trump has a financial interest in hydroxychloroquine,1,1,0,0
1.25E+18,trumps aggressive advocacy of malaria drug for treating coronavirus divides medical community mr trump himself has a small personal financial interest in sanofi the french drugmaker that makes plaquenil the brandname version of hydroxychloroquine,1,0,0,0
1.25E+18,from the nosurprise department trump reportedly owns a stake in a company that produces hydroxychloroquine the antimalaria drug he has repeatedly touted as a coronavirus treatment even though his experts say theres no strong evidence it works,1,0,1,1
1.25E+18,thousands of doctors yes hydroxychloroquine works against wuhan coronavirus,2,1,1,1
1.25E+18,to summarize pres trump most people have covid19 recovered on their own amp those who died were the weaker ones with many health issues which would prevent them to try hydroxychloroquine  they would not survive the side effects h might create on them,2,1,1,1
1.25E+18,trump himself has a financial stake in the french company that makes the brandname version of hydroxychloroquine the unproven malaria drug he has been,1,0,0,0
1.25E+18,its all trumps fault if he had tried to ban chloroquine instead of praising it  the whole world would be praising it just to prove how evil trump is we would all be taking it at the slightest symptom and epidemic would be mostly under control,2,1,0,0
1.25E+18,heres some morning tea breaking president trump has a financial interest in the maker of hydroxychloroquine  in other words he has been telling americans to risk their lives an take this drug in order for him to profit  no im not fking joking,1,0,1,1
